-3 -3 18 -6 -6
-3 -2.8 16.84 -6 -5.6
-3 -2.6 15.76 -6 -5.2
-3 -2.4 14.76 -6 -4.8
-3 -2.2 13.84 -6 -4.4
-3 -2 13 -6 -4
-3 -1.8 12.24 -6 -3.6
-3 -1.6 11.56 -6 -3.2
-3 -1.4 10.96 -6 -2.8
-3 -1.2 10.44 -6 -2.4
-3 -1 10 -6 -2
-3 -0.8 9.64 -6 -1.6
-3 -0.6 9.36 -6 -1.2
-3 -0.4 9.16 -6 -0.8
-3 -0.2 9.04 -6 -0.4
-3 3.88578e-16 9 -6 0
-3 0.2 9.04 -6 0.4
-3 0.4 9.16 -6 0.8
-3 0.6 9.36 -6 1.2
-3 0.8 9.64 -6 1.6
-3 1 10 -6 2
-3 1.2 10.44 -6 2.4
-3 1.4 10.96 -6 2.8
-3 1.6 11.56 -6 3.2
-3 1.8 12.24 -6 3.6
-3 2 13 -6 4
-3 2.2 13.84 -6 4.4
-3 2.4 14.76 -6 4.8
-3 2.6 15.76 -6 5.2
-3 2.8 16.84 -6 5.6

-2.8 -3 16.84 -5.6 -6
-2.8 -2.8 15.68 -5.6 -5.6
-2.8 -2.6 14.6 -5.6 -5.2
-2.8 -2.4 13.6 -5.6 -4.8
-2.8 -2.2 12.68 -5.6 -4.4
-2.8 -2 11.84 -5.6 -4
-2.8 -1.8 11.08 -5.6 -3.6
-2.8 -1.6 10.4 -5.6 -3.2
-2.8 -1.4 9.8 -5.6 -2.8
-2.8 -1.2 9.28 -5.6 -2.4
-2.8 -1 8.84 -5.6 -2
-2.8 -0.8 8.48 -5.6 -1.6
-2.8 -0.6 8.2 -5.6 -1.2
-2.8 -0.4 8 -5.6 -0.8
-2.8 -0.2 7.88 -5.6 -0.4
-2.8 3.88578e-16 7.84 -5.6 0
-2.8 0.2 7.88 -5.6 0.4
-2.8 0.4 8 -5.6 0.8
-2.8 0.6 8.2 -5.6 1.2
-2.8 0.8 8.48 -5.6 1.6
-2.8 1 8.84 -5.6 2
-2.8 1.2 9.28 -5.6 2.4
-2.8 1.4 9.8 -5.6 2.8
-2.8 1.6 10.4 -5.6 3.2
-2.8 1.8 11.08 -5.6 3.6
-2.8 2 11.84 -5.6 4
-2.8 2.2 12.68 -5.6 4.4
-2.8 2.4 13.6 -5.6 4.8
-2.8 2.6 14.6 -5.6 5.2
-2.8 2.8 15.68 -5.6 5.6

-2.6 -3 15.76 -5.2 -6
-2.6 -2.8 14.6 -5.2 -5.6
-2.6 -2.6 13.52 -5.2 -5.2
-2.6 -2.4 12.52 -5.2 -4.8
-2.6 -2.2 11.6 -5.2 -4.4
-2.6 -2 10.76 -5.2 -4
-2.6 -1.8 10 -5.2 -3.6
-2.6 -1.6 9.32 -5.2 -3.2
-2.6 -1.4 8.72 -5.2 -2.8
-2.6 -1.2 8.2 -5.2 -2.4
-2.6 -1 7.76 -5.2 -2
-2.6 -0.8 7.4 -5.2 -1.6
-2.6 -0.6 7.12 -5.2 -1.2
-2.6 -0.4 6.92 -5.2 -0.8
-2.6 -0.2 6.8 -5.2 -0.4
-2.6 3.88578e-16 6.76 -5.2 0
-2.6 0.2 6.8 -5.2 0.4
-2.6 0.4 6.92 -5.2 0.8
-2.6 0.6 7.12 -5.2 1.2
-2.6 0.8 7.4 -5.2 1.6
-2.6 1 7.76 -5.2 2
-2.6 1.2 8.2 -5.2 2.4
-2.6 1.4 8.72 -5.2 2.8
-2.6 1.6 9.32 -5.2 3.2
-2.6 1.8 10 -5.2 3.6
-2.6 2 10.76 -5.2 4
-2.6 2.2 11.6 -5.2 4.4
-2.6 2.4 12.52 -5.2 4.8
